Stadium,Latitude,Longitude,City,Country,HomeTeams,Capacity
Estadio 3 de Marzo,20.69376,-103.41608,Guadalajara,Mexico,Estudiantes,22988
Estadio Agustin Coruco Diaz,18.65518,-99.19202,Zacatepec,Mexico,Zacatepec Siglo XXI,24443
Estadio Akron,20.68155,-103.46253,Zapopan,Mexico,Chivas,49850
"Estadio Alberto ""Chivo"" Cordova",19.28489,-99.67595,Toluca,Mexico,Potros,32000
Estadio Alfonso Lastras,22.13846,-100.95107,San Luis Potosi,Mexico,Club San Luis,24000
Estadio Andrias Quintana Roo,21.15075,-86.83855,Cancun,Mexico,CF Atlante,20000
Estadio Azteca,19.30272,-99.15047,Mexico City,Mexico,"America, Cruz Azul",105000
Estadio Azul,19.38334,-99.17806,Mexico City,Mexico,-,35161
Estadio Banorte,24.8301,-107.40442,Culiacan,Mexico,Dorados,21000
Estadio BBVA Bancomer,25.66885,-100.24435,Guadeloupe,Mexico,CF Monterrey,53500
Estadio Caliente,32.50615,-116.99318,Tijuana,Mexico,Club Tijuana,27333
Estadio Cuauhtemoc,19.07759,-98.16488,Puebla,Mexico,Puebla FC,51726
Estadio Jalisco,20.70486,-103.32835,Guadalajara,Mexico,Atlas,56713
Estadio Juan N. Lopez,20.35802,-102.04987,La Piedad,Mexico,Reboceros,20000
Estadio La Corregidora,20.57748,-100.3662,Queretaro,Mexico,Queretaro FC,34130
Estadio Leon,21.11554,-101.65801,Leon,Mexico,Club Leon,31297
Estadio Luis de la Fuente,19.16408,-96.12487,Boca del Rio,Mexico,Veracruz,28703
Estadio Marte R. Gomez,23.73935,-99.15243,Ciudad Victoria,Mexico,Correcaminos,18000
Estadio Miguel Hidalgo,20.10493,-98.75604,Pachuca,Mexico,Pachuca CF,25000
Estadio Morelos,19.71866,-101.23366,Morelia,Mexico,Monarcas,38869
Estadio Nemesio Diez,19.28721,-99.66657,Toluca,Mexico,Deportivo Toluca,30000
Estadio Olimpico Universitario,19.33154,-99.19196,Mexico City,Mexico,Pumas,63186
Estadio Tecnologico de Oaxaca,17.0803,-96.74658,Oaxaca de Juarez,Mexico,Alebrijes,17200
Estadio TSM Corona,25.62884,-103.37964,Torreon,Mexico,Santos Laguna,30000
Estadio Universitario,25.7223,-100.3121,San Nicolas de los Garza,Mexico,Tigres,41886
Estadio Universitario BUAP,18.99675,-98.19752,Puebla,Mexico,"Lobos de la BUAP, Lobos Prepa",20411
Estadio Victor Manuel Reyna,16.76269,-93.09647,Tuxtla Gutierrez,Mexico,Jaguares,29508
Estadio Victoria,21.88063,-102.2757,Aquascalientes,Mexico,Necaxa,25494
